biometric_id,uses_biometric,biometric_verified_at
7e948a792e1d4f03,False,
04fee8c9502666e9,True,2024-06-13T06:01:12.267052
a40269f0fc302b75,True,2024-06-27T08:10:15.357387
7e948a792e1d4f03,False,
967411a08141324b,True,2024-07-02T21:50:36.229793
8e0ffae909567088,True,2025-01-20T23:33:00.746907
32b291e7f1752154,True,2024-05-24T14:07:56.073012
722c9a321b04c244,True,2024-09-29T17:56:13.531501
ff14a0b3f2934c59,True,2025-04-27T05:27:37.020731
d65dd244932b9a9d,True,2024-11-21T02:28:02.815840
6634db82636f37f0,True,2024-12-23T12:25:24.008250
ad506c443325f4cc,True,2024-05-02T04:35:10.157740
ca9b8c753bdd5a21,True,2024-07-28T07:11:54.111790
df2311a92a5ce119,True,2024-07-02T21:06:23.433051
a795b30e4c70d5d5,True,2024-10-30T21:08:16.979500
d76ff2fb097fbbf4,True,2024-08-10T07:25:38.662754
98f6b654870ab94b,True,2024-07-01T21:36:15.580529
4887457c7a5359b8,True,2025-01-14T06:35:12.853573
dd016c957a5583dc,True,2024-05-09T06:14:54.580506
5bae713d2f32d6a3,True,2024-10-17T10:25:14.669370
1d57be37da5c8046,True,2024-11-26T00:26:07.331025
b25f990c8f7d7bd8,True,2024-12-16T19:12:37.398775
6e407ff54ec9df32,True,2025-01-09T18:13:56.496723
1656014cc21b0a67,True,2024-07-21T20:39:54.107214
cd420319c01b507b,True,2025-04-07T08:57:41.482421
7e948a792e1d4f03,False,
877c782ecd18c670,True,2025-02-12T03:48:56.410655
074e9a791af9c66e,True,2024-10-04T20:41:13.463552
8e9a468ab6a7ef4f,True,2024-05-17T12:14:25.164047
5bb415f45e3abb37,True,2025-03-10T05:40:35.866652
a3e35466ac2c9f7e,True,2024-09-16T16:05:51.267567
7e948a792e1d4f03,False,
c3aabc15dfe5924c,True,2025-01-03T04:01:03.592354
44c04569286b5cf0,True,2025-04-26T05:31:26.750035
8a22e2d9331ad3f7,True,2025-02-10T16:35:38.850741
1541b99f10d9295a,True,2024-08-02T09:52:04.349525
602376c3939be7db,True,2024-11-11T23:01:17.967433
7e948a792e1d4f03,False,
