transaction_sk,currency,transaction_type,transaction_status,topup_method,transaction_date
4c11502d0308,KS,D,Failed,Cash Desk,2025-02-04 01:12:21.915606
dc97d5127093,USD,Deposit ,Failed,Bank Transfer,2025-03-13 09:50:12.625914
cb5c18e79bd8,USD,W,Failed,Bank Transfer,2025-04-05 14:30:05.759490
29e6e2d61b68,RWF,D,Failed,Bank Transfer,2025-03-24 04:10:09.741757
14dd48a8d5b8,KES,deposit,Failed,Mpesa,2025-03-16 22:47:37.054409
99b7cbaa542a,UGSH,Deposit ,Failed,Cash Desk,2025-02-08 16:08:18.371624
83db581dac30,USD,D,Failed,Bank Transfer,2025-02-20 20:06:45.253429
fc0d8efee15b,RWF,withdrawal,Failed,Paypal,2025-03-12 11:31:20.105819
ad34236adbb3,KES,deposit,Completed,PayPal,2025-04-25 05:29:14.998644
0d5bed1a9e00,USD, Withdrawal ,Failed,Paypal,2025-03-30 10:24:07.561297
a3f36552eb52,TSH, Withdrawal ,Pending,Cash Desk,2025-04-27 19:13:58.556008
bda1e5624894,USD,withdrawal,Failed,Bank Transfer,2025-03-10 16:19:46.882794
964792c55dea,KSH,withdrawal,Failed,Bank Transfer,2025-04-06 02:44:33.536507
a39febad5db5,USD, Withdrawal ,Completed,Bank Transfer,2025-04-26 08:29:26.700140
925548a58c83,USD,Deposit ,Pending,Cash Desk,2025-04-20 07:16:50.003505
05792f8972d2,RF, Withdrawal ,Failed,Mpesa,2025-03-30 13:27:06.575636
7386933a29fa,KES,D,Failed,Mpesa,2025-03-10 11:05:08.279472
bda1e5624894,USD,withdrawal,Failed,Bank Transfer,2025-03-11 17:28:51.316996
aa0df4bb88c5,TSH,Deposit ,Failed,Paypal,2025-03-11 09:08:57.636417
09ca7ed6be90,RF,W,Failed,Cash Desk,2025-04-14 16:50:24.062163
6b7dcbf71970,KS,Deposit ,Failed,Mpesa,2025-02-28 15:34:05.588186
5f64fe76a596,USH,withdrawal,Completed,Mpesa,2025-04-25 12:38:57.939431
4d06ff656f2b,TSH,D,Pending,Bank Transfer,2025-04-18 14:33:51.577595
1a99c857a0fa,RF,W,Failed,Bank Transfer,2025-02-28 06:27:13.474918
67e530ca0bb6,USD,D,Failed,Mpesa,2025-02-06 07:37:31.559361
23cc1f4115e6,UGX,deposit,Failed,Mpesa,2025-03-27 07:23:03.406494
